,Name,Uncutweight(carat),Cutweight(carat),Color,Country/region of origin,Description
54,Hortensia Diamond,,21.32,peach,India,"Peach (slightly orangey pink) color, formerly part of theFrench Crown Jewels. Displayed in theLouvre."
55,Incomparable Diamond,890,407.48,brownish-yellow,Democratic Republic of Congo,A brownish-yellow diamond of 407.48 carats (81.496 g) cut from an 890 carat (178 g) rough diamond of the same name - it appeared on eBay in 2002.Internally Flawless clarity. Several other smaller diamonds were also cut from the crystal.
56,Jacob Diamond,,184.5,colorless,India,Cushion cut weighing 184.5 carats (36.90 g); also known asImperial Diamond&Victoria Diamond.
57,Jagersfontein Diamond,215,,,South Africa,Found in 1881 at theJagersfontein Mine.[38]
58,The Jane Seymour,,2.08,blue,Russia,Cushion cut weighing 2.08 carats (416 mg).[39]
59,Jones Diamond,,34.48,blueish-white,United States,"Weighing 34.48 carats (6.896 g), found in West Virginia by the Jones family. Also known as the Punch Jones Diamond."
60,Jubilee Diamond,650.8,245.35,colorless,South Africa,Originally known as theReitz Diamond; perhaps the sixth-largest in the world at 245.35 carats (49.070 g).
61,Kazanjian Red Diamond,35,5.05,brownish-red,South Africa,"A 5.05-carat (1.010 g) Emerald-cutred diamondformerly known simply as ""Red Diamond"". This is the second-largest known red diamond. It was cut from a 35-carat (7.0 g) piece of boart discovered nearLichtenburg,South Africa. It reappeared in 2007 after a 37-year absence from sight, and was purchased by Kazanjian Brothers Inc."
62,Koh-i-Noor,793,105.60,colorless,India,"A 105.6 carat (21.6 g) white of Indian origin-(Golconda diamonds), with a long and turbulent history and a good deal of legend surrounding it. After belonging to Kakatiya, Delhi Sultanate, Mughal, Persian, Afghan and Sikh rulers, it was surrendered in the 1849Treaty of LahoretoQueen Victoria. It was recut from 191 ct, to its current size, and was part of theCrown of Queen Elizabeththe Queen Motheruntil her death in 2002. It is now on display in the Jewel House at the Tower of London."
63,Koi Diamond,,32+,"white, orange and various",Congo,"The colors of this sole and unique 32+ carat diamond evokes the well-knownKoi fishlegend and sacred symbolism cherished by East Asians. The graduations of color of white, orange, light yellow, darkblue and black colors in this diamond are reminiscent of ancient Chinese brush painting. The Koi Diamond has been certified by theGIA (Gemological Institute of America).[40]"
64,Lesotho Brown,601,71.73,pale brown,Lesotho,Was a stone originally 601 carats (120.2 g) with the largest stone 71.73 carats (14.346 g) after cutting.
65,Lesotho Legend,910,,D (colorless) Type IIa,Lesotho,"Largest diamond yet found at the Letšeng mine. Sold in March 2018 for $40 million to an unknown buyer in Antwerp, Belgium.[41][42][43]"
66,Lesotho Promise,603,75,colorless,Lesotho,"Is the 15th-largest diamond, the tenth-largestwhite diamond, and the largest diamond to be found in 13 years. The original stone was 603 carats (120.6 g), although the largest diamond after the cutting was 75 carats (15.0 g)."
67,Lulo Rose,170,,Pink,Angola,"The Lulo Rose is aType IIa diamond, which is considered to be the finest and most rare.[44]The announcement of the discovery was made by Lucapa Diamond Company on 27 July 2022.[45]Sodiam, the subsidiary ofEndiama, a state-owned diamond company in Angola, will put thepink diamondup for auction via an international bidding process.[46]"
68,Martian Pink,,12.04,pink,South Africa,"Named by American jeweler Ronald Winston in 1976. Sold by auction in May 2012 for US$17 million, ""the largest round fancy intense pink diamond to ever go under the hammer"", according to Christie's.[47]"
69,Matryoshka,0.62,,colorless,Russia,The Matryoshka is a unique diamond with another diamond moving freely inside. This is the first and only such diamond in the entire history of world diamond mining until October 2019.
70,Millennium Star,777,203.04,colorless,Democratic Republic of Congo,"At 203.04 carats (40.608 g), this is the second-largest colorless (grade D),flawless diamond."
71,Mirror of Naples,,,,,"Object of dispute between KingHenry VIIIof England and KingFrancis I of Francefollowing its gifting to Henry's sister,Mary Tudor, Queen of France.[48]"
72,Moon of Baroda,25.95,24.04,yellow,India,Moon of Baroda[49]is pear-shape 24.04 carats (4.808 g) diamond and it was discovered in Vadodara (Baroda) in India.
73,Moussaieff Red Diamond,13,5.11,red,Brazil,"The largest known red diamond, at 5.11 carats (1.022 g)."
74,Nassak Diamond,89,43.38,blue-white,India,"An emerald-cut of 43.38 carats (8.676 g), previously a triangular brilliant of about 89 carats."
75,Nizam Diamond,,340,colorless,India,Reportedly 340 carats (68 g). Possibly a large colorless topaz. Whereabouts unknown.
76,Noor-ol-Ain Diamond,,60,pink,India,Around 60 carats (12 g) originally from India but now part of the Iranian crown jewels.
77,Ocean Dream Diamond,,5.51,blue-green,Central Africa,"The only known natural Fancy Deep Blue-Green, and weighs 5.51 carats (1.102 g)."
78,Oppenheimer Blue,,14.62,blue,South Africa,"Became the most expensive diamond in the world at the time of its sale in May 2016, selling for $50.6m (£34.7m)."
79,Oppenheimer Diamond,253.7,,yellow,South Africa,"One of the largest gem-quality uncut diamonds in the world, at 253.7 carats (50.74 g)."
80,Orlov,,189.62,colorless,India,"An Indian mogul cut rumored to have served as the eye of a Hindu statue, and currently is part of theKremlin diamond fund, weighing approximately 190 carats (38 g)."
81,Paragon,,137.82,colorless,Brazil,A shield-shaped diamond of 137.82 carats.[50]
82,Pigot Diamond,100 (est.),47.38,colorless,India,"A oval brilliant, once the largest diamond in England. Sold by lottery in 1801, auctioned by Christie's in 1802, current whereabouts unknown although a popular legend is that it was destroyed."
83,Pink Star,132.50,59.60,pink,Africa,"Modified oval brilliant cut (step cut crown, brilliant pavilion), largest known fancy vivid pink, at 59.60 carats (11.920 g). Formerly known as the Steinmetz Pink, and the Pink Star.[51]Auctioned in Geneva by Sotheby's in 2013 for $83.187 million[52]"
84,Pitt Diamond[53],,,,,SeeRegent Diamond
85,Polar Star Diamond,,41.28,colorless,India,"A colorless cushion-shaped stellar brilliant diamond weighing 41.28 carats (8.256 g). Known for its symmetry, and once owned by Napoleon's older brother, it disappeared after being sold to a Sri Lankan diamond merchant in 1980 for a then-record $4.6 million.[54][55]"
86,Portuguese Diamond,,127.01,pale yellow,Brazil,127-carat (25.4 g) antique emerald cut with a pale yellow body color and very strong blue fluorescence. Part of theSmithsonian'scollection.
87,Premier Rose Diamond,353.9,137.0,colorless,South Africa,137.02-carat (27.4 g) stone cut from a 353.9-carat (70.8 g) rough gem of the same name.
88,Princie Diamond,,34.65,pink,India,"Antique cushion-cut, fancy intense pink, natural color, VS2 clarity, type IIa, displays bright orangey-red fluorescence when exposed to ultraviolet light (G.I.A.'s lab data);[56][57]discovered 300 years ago in the Golconda mines.[58]"
89,Pumpkin Diamond,,5.54,orange,Central African Republic,"Perhaps the largest fancy vivid orange diamond (5.54 carats), modified cushion-shaped brilliant."
90,Raven Diamond,,12.78,black,Unknown,Trilliant cut black diamond purchased in 2011. The Raven is currently in a private collection in upstate NY.[citation needed]
91,Regent Diamond,410,140.64,white with pale blue,India,"Weights 140.64 carats (28.128 g), is cushion-shaped stellar brilliant cut, formerly belonging toLouis XV,Louis XVI, andNapoleon Bonaparte, it now resides in theLouvre."
92,Sancy,,55.23,pale yellow,India,"A shield-shaped pale yellow diamond currently in theLouvre, weighing 55.23 carats (11.046 g)."
93,Sergio,3167,,carbonado,State ofBahia(Brazil),Largest carbonado and largest rough diamond ever found.[59][60][61]Found in 1895.
94,Shah Diamond,,88.7,pale yellow,India,"Very old paleyellow diamond(found approximately in 1450 in India) currently housed in theDiamond FundinKremlin, weighing 88.7 carats (17.74 g)."
95,Sierra Leone diamond,709,,,Sierra Leone,The discovery was made by Pastor Emmanuel Momoh in an artisanal mine in the village of Koyadu in eastern Kono district in 2017
96,Skull Star Diamond,,52.4,,,Pear-shaped pink diamond set in the forehead ofDamien Hirst'sFor the Love of Godsculpture.[62]
97,Spirit of de Grisogono Diamond,,312.24,black,Central African Republic,"Mogul cut, 312 carats (62.4 g), the world's largest cutblack diamond."
98,Spoonmaker's Diamond,,85.8,colorless,Unknown,Circa 86-carat (17 g) diamond housed inTopkapı PalaceinIstanbul. Also known as Kaşıkçı Elması
99,Star of Sierra Leone,968.9,various,colorless,Republic of Sierra Leone,"Cut into smaller pieces, the largest of which is 53.96 carats (10.792 g)."
100,Star of South Africa,83.5,47.69,colorless,South Africa,"also known as theDudley Diamond. This must not be confused with theStar of Africa. The Star of South Africa was the initial name given to this diamond, when it was purchased as an 83.5-carat (16.70 g) rough diamond. The diamond is a D-color, pear-shaped stellar brilliant cut stone, weighing 47.69 carats (9.538 g)."
101,Star of the East,,95,colorless,India (disputed),"A 95-carat (19 g) stone once owned byEvalyn Walsh McLeanofWashington, D.C., who also owned theHope Diamond. It was also owned byKing Faroukof Egypt, although he never settled the bill."
102,Star of the Season,,100.10,colorless,Unknown,"a 100.10-carat (20.020 g) pear-shaped D-color, Internally Flawless stone. At $16,548,750 US in 1995 it held the world record for the highest price paid for a diamond at auction until the sale of theWittelsbach-Graff diamondin 2008.[63]"
103,Star of the South,,128.48,light pinkish-brown,Brazil,Found in Brazil in 1853. Cartier is the last known owners of the diamond (mid-2000s).
104,Strawn-Wagner Diamond,3.03,1.09,colorless,United States,"A diamond which received a ""perfect"" 0/0/0 rating from theAmerican Gem Society, weighing 3.03 carats (0.606 g) rough and 1.09 carats (0.218 g) cut. On exhibit atCrater of Diamonds State Parkin Arkansas, where it was found in 1990."
105,Stuart or Holland Diamond,,39.75,light blue-green,,"Pear shaped rose cut diamond. Bought in 1690 as a rough stone by Queen Mary II Stuart, wife of King William of Orange. Therefore, also referred to as the Holland diamond. Belongs to the Dutch Royal House.[64]"
106,Sweet Josephine Diamond,,16.08,fancy vivid pink,,"The largest cushion-shaped stone classified in the elite ""fancy vivid"" category to ever come to auction. Owned by an American family of 15 years, it was sold at auction in November 2015 to Hong Kong billionaire Joseph Lau, and renamed by him the 'Sweet Josephine' after his daughter.[65]The next day he bought the 'Blue Moon of Josephine' diamond for her.[66]"
107,Symbolic Yellow Diamond,,114.63,vivid yellow,South Africa,"Antique cushion-shaped brilliant cut, which is believed to have been found in thePremier minein The South African Republic. It weighs 114.63 carats (22.926 g).[67]"
108,Taylor-Burton Diamond,241,68.0,colorless,South Africa,"Purchased byRichard Burtonfor his wifeElizabeth Taylor, weighing 68 carats (13.6 g)."
109,Tereshchenko diamond,,42.92,blue,India,42-carat (8.4 g) antique pear brilliant cut.
110,The Rock,,228.31,White,South Africa,"""The Rock"" is about the size of a golf ball and was previously worn as a lavish Cartier necklace. This is a perfectly symmetrical pear-shaped form and one of the rarest gems ever to be sold at auction.[68]"
111,Tiffany Yellow Diamond,287.42,128.54,yellow,South Africa,"Antique modified cushion-shaped stellar brilliant cut, on display atTiffany & Co.'s New York City store. It weighs 128.54 carats (25.708 g)."
112,Uncle Sam,40.23,12.42,brown,United States,"The largest discovered in the US, emerald-cut, M color (pale brown), VVS2 clarity."
113,Vargas diamond,726.6,,blue-white,Brazil,Cut into 29 smaller diamonds.
114,Williamson pink diamond,54.5,23.6,pink,Tanzania,"Given toQueen Elizabeth IIon her wedding in 1947 and later set in a brooch. ""The most famous pink diamond in the world"" according to the BBC.[47]"
115,Williamson Pink Star,32.32,11.15,pink,Tanzania,"The cushion-shaped flawless fancy vivid pinktype IIa diamondwas sold bySotheby's Hong Kongon October 7, 2022, for $392 million Hong Kong dollars (US$49.9 million), setting a world record for the highest price per carat for a diamond sold at auction.[69][70][71]"
116,Winston Pink Legacy,,18.96,pink,South Africa,"The world's largest Fancy Vivid Pink. Previously named Pink Legacy, it was sold by Christies on 13 November 2018, for 50.3 million Swiss francs ($50 million, £38.5 million), toHarry Winston. Found in a South African mine around 100 years ago and has likely not been altered since it was first cut (rectangular cut) in 1920, and once owned by the Oppenheimer family, who ran De Beers.[72]"
117,Wittelsbach-Graff Diamond,35.56,31.06,blue,India,"31.06 carats (6.212 g), Fancy Deep Blue, cushion modified brilliant.[73]Was cut down from the 35.56Wittelsbach Blueafter being purchased in 2008.[73]At the time of the sale it was the highest price ever paid for a diamond at auction.[74]"
